T,rec_id,N,m,status
T05,84,5,5,crashed
T05,84,5,10,crashed
T05,84,5,20,crashed
T05,84,5,40,crashed
T05,84,5,80,crashed
T05,84,5,160,crashed
T05,84,5,320,crashed
T10,27,5,5,no_data
T10,30,5,5,no_data
T10,61,5,5,no_data
T10,78,5,5,no_data
T10,78,5,320,crashed
T10,78,10,5,no_data
T10,81,5,320,crashed
T10,86,5,320,crashed
T10,87,5,5,no_data
T10,87,5,10,no_data
T10,87,10,5,no_data
T10,96,10,5,no_data
T160,1,5,5,no_data
T160,1,5,10,no_data
T160,1,5,20,no_data
T160,1,5,40,no_data
T160,1,5,80,no_data
T160,1,5,160,no_data
T160,1,5,320,no_data
T160,1,10,5,no_data
T160,1,10,10,no_data
T160,1,10,20,no_data
T160,1,10,40,no_data
T160,1,10,80,no_data
T160,1,10,160,no_data
T160,1,10,320,no_data
T160,1,20,5,no_data
T160,1,20,10,no_data
T160,1,20,20,no_data
T160,1,20,40,no_data
T160,1,20,80,no_data
T160,1,20,160,no_data
T160,1,20,320,no_data
T160,1,40,5,no_data
T160,1,40,10,no_data
T160,1,40,20,crashed
T160,1,40,40,crashed
T160,1,40,80,crashed
T160,1,40,160,crashed
T160,1,40,320,crashed
T160,1,80,5,no_data
T160,1,80,10,no_data
T160,1,80,20,no_data
T160,1,160,5,no_data
T160,1,160,10,no_data
T160,1,160,20,no_data
T160,1,160,40,no_data
T160,1,320,5,no_data
T160,1,320,10,no_data
T160,1,320,20,crashed
T160,1,320,40,crashed
T160,1,320,80,crashed
T160,1,320,160,crashed
T160,1,320,320,crashed
T160,2,5,5,no_data
T160,2,5,10,no_data
T160,2,5,20,no_data
T160,2,5,40,no_data
T160,2,5,80,no_data
T160,2,5,160,no_data
T160,2,5,320,no_data
T160,2,10,5,no_data
T160,2,10,10,no_data
T160,2,10,20,no_data
T160,2,10,40,no_data
T160,2,10,80,no_data
T160,2,10,160,no_data
T160,2,10,320,no_data
T160,2,20,5,no_data
T160,2,20,10,no_data
T160,2,20,20,no_data
T160,2,20,40,no_data
T160,2,20,80,no_data
T160,2,20,160,no_data
T160,2,20,320,no_data
T160,2,40,5,no_data
T160,2,40,10,no_data
T160,2,40,20,no_data
T160,2,40,40,no_data
T160,2,40,80,no_data
T160,2,40,320,crashed
T160,2,80,5,no_data
T160,2,80,10,no_data
T160,2,80,20,no_data
T160,2,160,5,no_data
T160,2,160,10,no_data
T160,2,160,20,no_data
T160,2,320,5,no_data
T160,2,320,10,no_data
T160,2,320,20,no_data
T160,2,320,40,no_data
T160,2,320,160,no_data
T160,3,5,5,no_data
T160,3,5,10,no_data
T160,3,5,20,no_data
T160,3,5,40,no_data
T160,3,5,80,no_data
T160,3,5,160,no_data
T160,3,5,320,no_data
T160,3,10,5,no_data
T160,3,10,10,no_data
T160,3,10,20,no_data
T160,3,10,40,no_data
T160,3,10,80,no_data
T160,3,10,160,no_data
T160,3,10,320,no_data
T160,3,20,5,no_data
T160,3,20,10,no_data
T160,3,20,20,no_data
T160,3,20,40,no_data
T160,3,20,80,no_data
T160,3,20,160,no_data
T160,3,20,320,no_data
T160,3,40,5,no_data
T160,3,40,10,no_data
T160,3,40,20,no_data
T160,3,40,40,no_data
T160,3,40,80,no_data
T160,3,40,320,crashed
T160,3,80,5,no_data
T160,3,80,10,no_data
T160,3,80,20,no_data
T160,3,80,40,no_data
T160,3,80,80,no_data
T160,3,160,5,no_data
T160,3,160,10,no_data
T160,3,160,20,no_data
T160,3,160,40,no_data
T160,3,160,80,no_data
T160,3,160,160,no_data
T160,3,160,320,no_data
T160,3,320,5,no_data
T160,3,320,10,no_data
T160,3,320,20,no_data
T160,3,320,40,no_data
T160,3,320,80,no_data
T160,3,320,160,no_data
T160,4,5,5,no_data
T160,4,5,10,no_data
T160,4,5,20,no_data
T160,4,5,40,no_data
T160,4,5,80,no_data
T160,4,5,160,no_data
T160,4,5,320,no_data
T160,4,10,5,no_data
T160,4,10,10,no_data
T160,4,10,20,no_data
T160,4,10,40,no_data
T160,4,10,80,no_data
T160,4,10,160,no_data
T160,4,10,320,no_data
T160,4,20,5,no_data
T160,4,20,10,no_data
T160,4,20,20,no_data
T160,4,20,40,no_data
T160,4,20,80,no_data
T160,4,20,160,no_data
T160,4,20,320,no_data
T160,4,40,5,no_data
T160,4,40,10,no_data
T160,4,40,20,crashed
T160,4,40,40,crashed
T160,4,40,80,crashed
T160,4,40,160,crashed
T160,4,40,320,crashed
T160,4,80,5,no_data
T160,4,80,10,no_data
T160,4,80,20,no_data
T160,4,80,40,no_data
T160,4,160,5,no_data
T160,4,160,10,no_data
T160,4,160,20,no_data
T160,4,160,40,no_data
T160,4,160,80,no_data
T160,4,160,160,no_data
T160,4,160,320,no_data
T160,4,320,5,no_data
T160,4,320,10,no_data
T160,4,320,20,no_data
T160,4,320,40,no_data
T160,4,320,80,no_data
T160,4,320,160,no_data
T160,4,320,320,no_data
T160,5,5,5,no_data
T160,5,5,10,no_data
T160,5,5,20,no_data
T160,5,5,40,no_data
T160,5,5,80,no_data
T160,5,5,160,no_data
T160,5,5,320,no_data
T160,5,10,5,no_data
T160,5,10,10,no_data
T160,5,10,20,no_data
T160,5,10,40,no_data
T160,5,10,80,no_data
T160,5,10,160,no_data
T160,5,10,320,no_data
T160,5,20,5,no_data
T160,5,20,10,no_data
T160,5,20,20,no_data
T160,5,20,40,no_data
T160,5,20,80,no_data
T160,5,20,160,no_data
T160,5,20,320,no_data
T160,5,40,5,no_data
